Row Labels,Count of Column3
Norsk Dyremat,1
Meland Riflebaner,1
Norsk Everit AS,1
Røldal Riflebaner,1
Massedisponering,1
Røros Elektrisitetsverk AS,1
Norsk Kylling,1
Røros Slakteri A.l,1
Norsk Motorklubb,1
Rørosmeieriet AS,1
Norsk Oljevernforening For Operatørselsskap Nofo,1
Rørvik Lufthavn,1
Norsk Senter For Offshoreutdanning,1
Røst Trandamperi AS,1
Norsk Skogsmelasse,1
Røyrvik Vannbehandlingsanlegg,1
Norsk Spesialolje AS,1
Råvatn Militære Skytebaner,1
Norsk Stål AS,1
Raabakken Grustak,1
Norske Skog Saugbrugs,1
Ragn-sells AS,1
Norske Skog Skogn,1
Rana Gruber,1
Norterminal Floating Storage,1
Ranheim Paper & Board,1
Nortura Eggprodukter AS,1
Raufoss Aluminium AS,1
Nortura Karasjok AS,1
Rauma Ullvarefabrikk,1
Mauken-blåtind Skyte- Og Øvingsfelt,1
Reetec,1
Norum Kyllingfjøs,1
Refa,1
Norwegian Waste To Energy AS,1
Reinbeitedistrikt 39,1
Not Prosess,1
Relyon Nutec Norway AS,1
Not Pulverlakk,1
Renseanlegg Brulihei- Og Vollebergtunnelene,1
Not Varmforzinking,1
Renseanlegg Mjåvannsheitunnelen,1
Nouryon Nobel Pulp And Performance Chemicals Norway,1
Renseanlegg Tunneldrift E39 Mandal Øst Til Mandal By,1
Nova Sea AS,1
Resq,1
Risnes Vannverk,1
Revac AS,1
Rjukan Krematorium,1
Rimol Miljøpark AS,1
Rockwool Trondheim,1
Ringknuten Pukkverk AS,1
Romsdal Processing AS,1
Ringnes Imsdal,1
Ny Lufthavn Bodø,1
Risa,1
Ny Vei På B3 Og B4,1
Rise Fire Research AS,1
Ny-ålesund,1
Melbygruva Pukkverk,1
Nydalen Energi,1
Rockwool Moss,1
Nussir ASA,1
Rodeløkka Varmesentral,1
Nutec,1
Malerød Steinbrudd,1
Nutrimar AS,1
Hydro Extrusion Norway Magnor Før Sapa,1
Kvænangsfjelltunnelen-drift,1
Kabelfabrikk,1
Franzefoss Gjenvinning Husøya,1
Målselv Maskin Og Transport,1
Franzefoss Minerals AS,1
J E Ekornes AS,1
Forset Grus AS,1
Klåstad Steinbrudd,1
Fredø Elg- Og Riflebane,1
Lilleeide Riflebane,1
Frekhaug Stål AS,1
Horns Slakteri AS,1
Frevar,1
Ineos Rafnes,1
Freyr,1
Jens Eide AS,1
Frigård Skytebane,1
Kings Broiler,1
Fritidsbåter,1
Kongsvinger Betong Datter AS,1
Frustøl AS,1
Lerøy Aurora Lakseslakteri,1
Fuglehaugen Motorsenter,1
Longyearbyen Lokalstyre,1
Furnes Jernstøperi,1
Homlagarden AS,1
Furumoen Tunnel,1
Framo Holsnøy AS,1
Furuseth,1
Illhøllitunnelen Drens/vaskevann,1
Fyresdal Riflebaner,1
Framruste Steintipp Knuseverk,1
G3 Gausdal Treindustrier Gausdal Treforedling,1
Jahrestranda Næringspark AS,1
Gåsbu Elg- Og Lerduebane,1
Jotun Gimle,1
Forsvarsbygg,1
Kemira Chemicals AS,1
Gc Rieber Vivomega AS,1
Kirkenes Processing,1
Ge Healthcare,1
Knapphus Pukkverk,1
Ge Healthcare Lindesnes,1
Krukåsen Steinbrudd,1
Gjøco,1
Kymera International,1
Gjølme Pukkverk,1
Lierskogen Asfaltfabrikk,1
Gjøvik Krematorium,1
Lns Spitsbergen,1
Gjerberg Gård,1
Lyngen Plast,1
Forsvarsbygg Heggelia,1
Mack Renseanlegg,1
Glasskartunnelen Renset Tunnelvaskevann,1
Hopen,1
Glava Askim,1
Hovden Fiskeindustri AS,1
Glava Stjørdal,1
Hvebergsmoen Potetpakkeri AS,1
Glencore Nikkelverk,1
Ibestad Skipshugging Og Sanering AS,1
Global Florø Gunnhildvågen,1
Indus Kjemisk Teknisk Fabrikk Mottak,1
Glomma Papp,1
Innovanor Lakseslakteri Salmar,1
Grønseth Maskin AS,1
Isak D. Westgaard AS,1
Grøntvedt Pelagic AS,1
Jøtul AS,1
Granberg Garveri AS,1
Jankos Mekaniske,1
Granfosstunnelen,1
Johs Lundal & Sønner,1
Grans Bryggeri AS,1
Jule Industriområde,1
Gratangen Riflebane,1
Karmsund Protein,1
Green Yard Feda,1
King Oscar AS,1
Green Yard Kleven AS,1
Kirkelandet Kapell,1
Grieg Seafood Rogaland,1
Kjellmi AS,1
Fortuna Oils AS,1
Klodeborg Pukkverk,1
Grinda Asfaltverk,1
Kongsberg Automotive,1
Grinna Riflebane,1
Kristiansund Lufthavn,1
Gromstul,1
Kuøya Ii,1
Gruvelageret,1
Kverva,1
Gudbrandsdalens Uldvarefabrik AS,1
Løvenskiold Riflebaner,1
Gundersen Galvano,1
Lerøy Midt AS,1
Gunnar Klo AS,1
Life Technologies,1
Gyltviktunnelen,1
Lillomarka Arena,1
Gyproc AS,1
Lofoten Sjøprodukter AS,1
H. A. Hansen AS,1
Lundstad Grønt AS,1
Høilo Pukkverk,1
Framo Fusa AS,1
Hønefoss,1
Måsøval Harvest AS,1
